tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Anthropology,1350,Duke University,Rosalinda,,Canizares,2179725,0,zero,TEACHER,PROFESSOR,N/A
Writing,1350,Duke University,Gaia,,Cantelli,2421654,2,good,TEACHER,PROFESSOR,5.0
Literature,1350,Duke University,Xuenan,,Cao,2312719,2,good,TEACHER,PROFESSOR,4.0
Psychology,1350,Duke University,Beatrice,,Capestany,2132389,1,good,TEACHER,PROFESSOR,4.0
Writing,1350,Duke University,Rene,D,Caputo,1787697,1,good,TEACHER,PROFESSOR,4.5
Education,1350,Duke University,Lisa,,Carboni,875861,5,good,TEACHER,PROFESSOR,4.1
Chemistry,1350,Duke University,Robert,,Carden,2078478,0,zero,TEACHER,PROFESSOR,N/A
Electrical Engineering,1350,Duke University,Lawrence,,Carin,1260991,0,zero,TEACHER,PROFESSOR,N/A
Science,1350,Duke University,Jens,,Carlsson,1149246,0,zero,TEACHER,PROFESSOR,N/A
Religion,1350,Duke University,Larissa,,Carneiro,2250057,2,good,TEACHER,PROFESSOR,5.0
Languages,1350,Duke University,Cristina,,Carnemolla,2576440,0,zero,TEACHER,PROFESSOR,N/A
Public Policy,1350,Duke University,Nick,,Carnes,1716753,28,good,TEACHER,PROFESSOR,4.2
Languages,1350,Duke University,Toni,,Carpio,363262,16,poor,TEACHER,PROFESSOR,1.9
Nursing,1350,Duke University,Brigit,,Carter,1459361,0,zero,TEACHER,PROFESSOR,N/A
Languages,1350,Duke University,Laura,,Casa,947943,24,average,TEACHER,PROFESSOR,3.0
Writing,1350,Duke University,Gretchen,,Case,1051576,10,good,TEACHER,PROFESSOR,4.4
Mathematics,1350,Duke University,Michael,,Casey,2056288,1,poor,TEACHER,PROFESSOR,2.0
English,1350,Duke University,Brenna,,Casey,2015749,12,good,TEACHER,PROFESSOR,5.0
Writing,1350,Duke University,Kevin,,Casey,1583788,17,good,TEACHER,PROFESSOR,4.8
Psychology,1350,Duke University,Avshalom,,Caspi,2064538,2,good,TEACHER,PROFESSOR,5.0
Languages,1350,Duke University,Barbara,,Castaldo,2118167,7,good,TEACHER,PROFESSOR,4.8
Classics,1350,Duke University,Claire,E,Catenaccio,2435825,2,good,TEACHER,PROFESSOR,5.0
Engineering,1350,Duke University,Kevin,M,Caves,2415436,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,1350,Duke University,Carla,,Cederbaum,1666372,9,good,TEACHER,PROFESSOR,4.4
Statistics,1350,Duke University,Mine,,Çetinkaya-Rundel,1716124,40,average,TEACHER,PROFESSOR,3.3
History,1350,Duke University,William,,Chafe,1192202,8,good,TEACHER,PROFESSOR,4.7
Computer Engineering,1350,Duke University,Krishnendu,,Chakrabarty,2009031,1,average,TEACHER,PROFESSOR,2.5
Languages,1350,Duke University,Della,,Chambless,1191410,16,good,TEACHER,PROFESSOR,3.9
Physics,1350,Duke University,Shailesh,,Chandrasekharan,917127,10,good,TEACHER,PROFESSOR,4.5
Mathematics,1350,Duke University,Howard,,Chang,1489709,1,poor,TEACHER,PROFESSOR,2.0
Physics,1350,Duke University,Albert,,Chang,1850345,7,poor,TEACHER,PROFESSOR,2.4
Religion,1350,Duke University,Stephen,,Chapman,927295,6,good,TEACHER,PROFESSOR,3.7
History,1350,Duke University,James,,Chappel,1969689,10,good,TEACHER,PROFESSOR,4.9
Mathematics,1350,Duke University,Benoit,,Charbonneau,1074426,9,good,TEACHER,PROFESSOR,4.4
Chemistry,1350,Duke University,Patrick,,Charbonneau,2241742,1,good,TEACHER,PROFESSOR,5.0
Law,1350,Duke University,Guy,,Charle,1727276,2,good,TEACHER,PROFESSOR,4.8
Public Policy,1350,Duke University,Evan,,Charney,605892,43,good,TEACHER,PROFESSOR,4.2
Psychology,1350,Duke University,Tanya,,Chartrand,519957,4,good,TEACHER,PROFESSOR,4.9
Computer Science,1350,Duke University,Jeffrey,,Chase,307594,19,good,TEACHER,PROFESSOR,3.6
Spanish,1350,Duke University,Ashley,,Chavez,2252551,1,good,TEACHER,PROFESSOR,5.0
Medicine,1350,Duke University,Chin-Ho,,Chen,895936,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,1350,Duke University,Guangliang,,Chen,1475192,12,poor,TEACHER,PROFESSOR,2.2
Electrical Engineering,1350,Duke University,Yiran,,Chen,2443766,9,good,TEACHER,PROFESSOR,4.1
Mathematics,1350,Duke University,Cheng,,Cheng,2450178,2,good,TEACHER,PROFESSOR,4.0
Mathematics,1350,Duke University,Xiuyuan,,Cheng,2573321,2,average,TEACHER,PROFESSOR,3.0
Writing,1350,Duke University,Aria,,Chernik,1275287,9,good,TEACHER,PROFESSOR,3.6
Writing,1350,Duke University,Lisa,,Chinn,2413392,2,average,TEACHER,PROFESSOR,3.0
Languages,1350,Duke University,Ileana,,Chirila,955826,4,average,TEACHER,PROFESSOR,3.0
Languages,1350,Duke University,Germain,,Choffart,1358280,22,good,TEACHER,PROFESSOR,4.4
Chinese,1350,Duke University,Eileen Chen-Yin,,Chow,1818590,10,good,TEACHER,PROFESSOR,3.9
Literature,1350,Duke University,Rey,,Chow,2266451,0,zero,TEACHER,PROFESSOR,N/A
Biology,1350,Duke University,,,Christensen,824870,13,good,TEACHER,PROFESSOR,4.1
Statistics,1350,Duke University,Jonathan,,Christensen,2356566,3,average,TEACHER,PROFESSOR,3.0
Mathematics,1350,Duke University,Jer-Chin Luke,,Chuang,1149348,10,average,TEACHER,PROFESSOR,3.3
Political Science,1350,Duke University,Jeffrey,,Church,1190044,5,good,TEACHER,PROFESSOR,4.8
Biology,1350,Duke University,Steven,,Churchill,150651,28,good,TEACHER,PROFESSOR,4.1
Theology,1350,Duke University,Elizabeth,,Clark,393848,6,average,TEACHER,PROFESSOR,3.2
Not Specified,1350,Duke University,Charlotte,,Clark,1678632,7,good,TEACHER,PROFESSOR,3.5
Anthropology,1350,Duke University,Tara,,Clarke,2055560,9,good,TEACHER,PROFESSOR,3.7
Physics,1350,Duke University,Kevin,,Claytor,1491890,0,zero,TEACHER,PROFESSOR,N/A
Pediatrics,1350,Duke University,Dennis,,Clements,1343320,2,good,TEACHER,PROFESSOR,4.8
Languages,1350,Duke University,Gaillynn,,Clements,1924186,12,good,TEACHER,PROFESSOR,4.1
Languages,1350,Duke University,Joan,,Clifford,597997,16,good,TEACHER,PROFESSOR,3.9
Art & Art History,1350,Duke University,Martha,,Clippinger,2302465,1,good,TEACHER,PROFESSOR,4.0
Public Policy,1350,Duke University,Charles,,Clotfelter,814446,4,average,TEACHER,PROFESSOR,3.0
Statistics,1350,Duke University,Merlise,A,Clyde,2299772,0,zero,TEACHER,PROFESSOR,N/A
Religion,1350,Duke University,Andrew,,Coates,2446245,3,good,TEACHER,PROFESSOR,4.7
Engineering,1350,Duke University,Franklin,Hadley,Cocks,2289118,0,zero,TEACHER,PROFESSOR,N/A
Spanish,1350,Duke University,Alma,,Coefman,2005026,3,good,TEACHER,PROFESSOR,4.2
Public Policy,1350,Duke University,Bentley,,Coffey,2058236,9,average,TEACHER,PROFESSOR,3.3
Biology,1350,Duke University,Brian,,Coggins,1149544,40,good,TEACHER,PROFESSOR,3.8
Public Policy,1350,Duke University,Sarah,,Cohen,1433742,4,average,TEACHER,PROFESSOR,3.4
Writing,1350,Duke University,Jed,,Cohen,2364302,4,good,TEACHER,PROFESSOR,5.0
Classics,1350,Duke University,Thomas,J.,Cole,2488000,4,good,TEACHER,PROFESSOR,5.0
Law,1350,Duke University,Doriane,,Coleman,2036983,1,good,TEACHER,PROFESSOR,5.0
Political Science,1350,Duke University,Romand,,Coles,368281,6,good,TEACHER,PROFESSOR,3.7
Anthropology,1350,Duke University,Rick,,Collier,652132,7,average,TEACHER,PROFESSOR,3.2
Engineering,1350,Duke University,Leslie,,Collins,1053911,15,average,TEACHER,PROFESSOR,3.4
Chemistry,1350,Duke University,Don,,Coltart,809028,27,average,TEACHER,PROFESSOR,3.4
Writing,1350,Duke University,Denise,,Comer,293762,18,good,TEACHER,PROFESSOR,3.8
Electrical Engineering,1350,Duke University,Bobby,,Compton,2280757,0,zero,TEACHER,PROFESSOR,N/A
Religion,1350,Duke University,Cavan,,Concannon,1712986,15,good,TEACHER,PROFESSOR,4.3
Theater,1350,Duke University,Claire,,Conceison,1420657,4,average,TEACHER,PROFESSOR,3.4
Computer Science,1350,Duke University,Vincent,,Conitzer,1252950,5,good,TEACHER,PROFESSOR,4.4
Economics,1350,Duke University,Michelle,,Connolly,321135,30,good,TEACHER,PROFESSOR,4.0
Political Science,1350,Duke University,Joseph,,Connors,1805371,5,good,TEACHER,PROFESSOR,5.0
Public Policy,1350,Duke University,Bob,,Conrad,1508726,1,poor,TEACHER,PROFESSOR,1.5
Genetics,1350,Duke University,Robert,,Cook-Deegan,1776700,2,good,TEACHER,PROFESSOR,5.0
Literature,1350,Duke University,Miriam,,Cooke,937143,9,average,TEACHER,PROFESSOR,3.0
Writing,1350,Duke University,Sandra,,Cooke,1216815,6,average,TEACHER,PROFESSOR,2.8
Mathematics,1350,Duke University,Benjamin,,Cooke,1572261,8,good,TEACHER,PROFESSOR,4.9
English,1350,Duke University,Bridget,,Cooper,1056234,6,poor,TEACHER,PROFESSOR,2.3
Nursing,1350,Duke University,Penny,,Cooper,1459366,0,zero,TEACHER,PROFESSOR,N/A
Psychology,1350,Duke University,Harris,,Cooper,1578052,4,good,TEACHER,PROFESSOR,4.0
Writing,1350,Duke University,Louis,John,Cooper III,2389315,0,zero,TEACHER,PROFESSOR,N/A
Religion,1350,Duke University,Jennifer,,Copeland,1647397,1,good,TEACHER,PROFESSOR,3.5
Sociology,1350,Duke University,Molly,,Copeland,2292216,1,good,TEACHER,PROFESSOR,5.0
Spanish,1350,Duke University,Hortensia,,Corcino De Lopez,2445105,2,good,TEACHER,PROFESSOR,4.5
Psychology,1350,Duke University,Daniella,,Cordero,1670860,0,zero,TEACHER,PROFESSOR,N/A
Biology,1350,Duke University,Bruce,,Corliss,775739,11,good,TEACHER,PROFESSOR,3.8
Mathematics,1350,Duke University,Christopher,,Cornwell,1784445,6,good,TEACHER,PROFESSOR,3.8
Languages,1350,Duke University,Corrado,,Corradini,1120673,8,good,TEACHER,PROFESSOR,4.8
Women's Studies,1350,Duke University,Clare,,Counihan,1770723,2,good,TEACHER,PROFESSOR,4.2
Psychology,1350,Duke University,Herb,,Covington,1646802,2,good,TEACHER,PROFESSOR,4.2
Computer Science,1350,Duke University,Landon,,Cox,955628,15,average,TEACHER,PROFESSOR,3.5
Mathematics,1350,Duke University,Graham,,Cox,1046292,5,good,TEACHER,PROFESSOR,3.5
Chemistry,1350,Duke University,Steven,,Craig,157350,71,good,TEACHER,PROFESSOR,3.9
German,1350,Duke University,Cori,,Crane,2529994,1,poor,TEACHER,PROFESSOR,2.0
Mathematics,1350,Duke University,Stephanie,,Crater,2337396,0,zero,TEACHER,PROFESSOR,N/A
Classics,1350,Duke University,Rex,,Crews,1179306,10,good,TEACHER,PROFESSOR,4.8
Ethnic Studies,1350,Duke University,Michaeline,,Crichlow,1850968,5,average,TEACHER,PROFESSOR,2.6
Music,1350,Duke University,Liz,,Crisenbery,2219489,0,zero,TEACHER,PROFESSOR,N/A
Health Science,1350,Duke University,Jason,,Cross,1426369,12,good,TEACHER,PROFESSOR,4.2
Mathematics,1350,Duke University,Miles,,Crosskey,1678305,2,poor,TEACHER,PROFESSOR,1.0
History,1350,Duke University,Michael,,Crotty,1268700,0,zero,TEACHER,PROFESSOR,N/A
Science,1350,Duke University,Larry,,Crowder,1149245,4,good,TEACHER,PROFESSOR,3.6
Science,1350,Duke University,Alvin,,Crumbliss,54373,33,good,TEACHER,PROFESSOR,3.7
Education,1350,Duke University,Hugh,,Crumley,1470341,2,good,TEACHER,PROFESSOR,4.8
Fine Arts,1350,Duke University,Leonard,,Cruz,1500211,1,good,TEACHER,PROFESSOR,4.0
Mathematics,1350,Duke University,Joshua,,Cruz,2302756,3,good,TEACHER,PROFESSOR,4.7
Anthropology,1350,Duke University,Rebecca,,Cuddahee,1428442,3,good,TEACHER,PROFESSOR,4.2
Engineering,1350,Duke University,Steven,,Cummer,610337,11,good,TEACHER,PROFESSOR,4.5
English,1350,Duke University,Valentine,,Cunningham,2398166,1,good,TEACHER,PROFESSOR,5.0
Biology,1350,Duke University,Cliff,,Cunningham,376982,22,good,TEACHER,PROFESSOR,3.5
Mathematics,1350,Duke University,Justin,,Curry,2038306,2,average,TEACHER,PROFESSOR,3.2
English,1350,Duke University,Allison,,Curseen,1603630,4,poor,TEACHER,PROFESSOR,2.2
Engineering,1350,Duke University,Stefano,,Curtarolo,546137,32,good,TEACHER,PROFESSOR,3.9
Political Science,1350,Duke University,Kim,,Curtis,586157,22,poor,TEACHER,PROFESSOR,1.7
Languages,1350,Duke University,Lesley,,Curtis,1445696,1,good,TEACHER,PROFESSOR,4.5
Music,1350,Duke University,Jennifer,,Curtis,2132701,1,good,TEACHER,PROFESSOR,4.5
Film,1350,Duke University,Bonnie,,Cutler,987505,4,good,TEACHER,PROFESSOR,4.5
English,1350,Duke University,Michael,,D'Alessandro,2343309,3,good,TEACHER,PROFESSOR,5.0
Physical Education,1350,Duke University,Missy,,Daffron,2142978,1,good,TEACHER,PROFESSOR,5.0
Spanish,1350,Duke University,Simon,,Dagher,2174649,1,average,TEACHER,PROFESSOR,3.0
Engineering,1350,Duke University,Jeremy,,Dahl,1319500,3,average,TEACHER,PROFESSOR,3.2
Mathematics,1350,Duke University,Shu,,Dai,1141033,3,average,TEACHER,PROFESSOR,3.2
Languages,1350,Duke University,Roberto,,Dainotto,971559,8,good,TEACHER,PROFESSOR,3.9
Physical Education,1350,Duke University,Gregory,,Dale,1751909,1,good,TEACHER,PROFESSOR,5.0
Business,1350,Duke University,Brendan,,Daley,1855503,2,poor,TEACHER,PROFESSOR,2.0
Ethnic Studies,1350,Duke University,Samuel,,Daly,2305992,6,good,TEACHER,PROFESSOR,4.8
Education,1350,Duke University,Kisha,,Daniels,2472679,1,good,TEACHER,PROFESSOR,4.0
Medicine,1350,Duke University,Denis,,Darcey,1329760,0,zero,TEACHER,PROFESSOR,N/A
Public Policy,1350,Duke University,William,,Darity,997676,6,good,TEACHER,PROFESSOR,3.6
Mathematics,1350,Duke University,Sourish,,Das,1249086,9,poor,TEACHER,PROFESSOR,2.5
Mathematics,1350,Duke University,Samit,,Dasgupta,2550996,1,good,TEACHER,PROFESSOR,5.0
Mathematics,1350,Duke University,Ingrid,,Daubechies,1647392,17,good,TEACHER,PROFESSOR,3.6
Music,1350,Duke University,Harry,,Davidson,180852,30,good,TEACHER,PROFESSOR,4.5
History,1350,Duke University,Christina,,Davidson,2324093,0,zero,TEACHER,PROFESSOR,N/A
Classics,1350,Duke University,Gregson,,Davis,989837,2,good,TEACHER,PROFESSOR,5.0
Writing,1350,Duke University,Joshua,C,Davis,1811354,4,good,TEACHER,PROFESSOR,3.6
Religion,1350,Duke University,Kathy,,Dawson,977581,4,good,TEACHER,PROFESSOR,3.5
Nursing,1350,Duke University,Lisa,,Day,2170046,0,zero,TEACHER,PROFESSOR,N/A
Psychology,1350,Duke University,Ruth,,Day,166698,29,average,TEACHER,PROFESSOR,3.0
Science,1350,Duke University,Jesse,S.,Daystar,2110572,0,zero,TEACHER,PROFESSOR,N/A
Neuroscience,1350,Duke University,Felipe,,De Brigard,2493314,2,good,TEACHER,PROFESSOR,4.0
Spanish,1350,Duke University,Tenesoya,Vidina,De la nuez,2557456,1,good,TEACHER,PROFESSOR,5.0
Economics,1350,Duke University,Neil,,De Marchi,363761,27,average,TEACHER,PROFESSOR,2.6
Political Science,1350,Duke University,Scott,,De Marchi,502997,19,good,TEACHER,PROFESSOR,4.0
Philosophy,1350,Duke University,Alex,,DeForge,2255039,2,good,TEACHER,PROFESSOR,5.0
Dance,1350,Duke University,Thomas,,DeFrantz,2517531,0,zero,TEACHER,PROFESSOR,N/A
Physics,1350,Duke University,Nasser,,Demir,1544101,2,average,TEACHER,PROFESSOR,3.2
Law,1350,Duke University,Deborah,,DeMott,2518236,0,zero,TEACHER,PROFESSOR,N/A
Sociology,1350,Duke University,Ryan,,Denniston,1242597,2,average,TEACHER,PROFESSOR,3.0
Mathematics,1350,Duke University,Halcyon,,Derks,1781756,1,good,TEACHER,PROFESSOR,5.0
History,1350,Duke University,Sarah,,Deutsch,1572791,6,good,TEACHER,PROFESSOR,4.8
Education,1350,Duke University,Joseph,,Di Bona,745612,6,average,TEACHER,PROFESSOR,3.1
Languages,1350,Duke University,Fiammetta,,di Lorenzo,2241740,1,average,TEACHER,PROFESSOR,3.0
Dance,1350,Duke University,Barbara,,Dickinson,908197,6,poor,TEACHER,PROFESSOR,2.4
Sociology,1350,Duke University,David,,Dietrich,1257456,2,good,TEACHER,PROFESSOR,3.5
Anthropology,1350,Duke University,Leslie,,Digby,320384,19,good,TEACHER,PROFESSOR,3.8
Art History,1350,Duke University,Sheila,,Dillon,70027,12,good,TEACHER,PROFESSOR,3.9
Art History,1350,Duke University,Jennifer,,Dillon,1710115,1,good,TEACHER,PROFESSOR,5.0
Writing,1350,Duke University,Michael,Daniel,Dimpfl,2296494,11,good,TEACHER,PROFESSOR,4.5
Management,1350,Duke University,Aaron,,Dinin,2219837,79,good,TEACHER,PROFESSOR,4.6
Science,1350,Duke University,Ian,,Dinwoodie,614797,9,poor,TEACHER,PROFESSOR,2.1
Anthropology,1350,Duke University,Dwayne,,Dixon,2059603,9,good,TEACHER,PROFESSOR,4.8
Sociology,1350,Duke University,Natalia Natasha,,Dmitrieva,1853256,1,good,TEACHER,PROFESSOR,5.0
Mathematics,1350,Duke University,Zachary,,Doenges,1870057,1,average,TEACHER,PROFESSOR,3.0
Languages,1350,Duke University,Kristen,,Dolan,2006398,6,average,TEACHER,PROFESSOR,2.8
Engineering,1350,Duke University,John,,Dolbow,571708,9,good,TEACHER,PROFESSOR,4.5
English,1350,Duke University,Joe,,Donahue,694757,15,good,TEACHER,PROFESSOR,4.4
Information Science,1350,Duke University,Evan,Michael,Donahue,2359144,0,zero,TEACHER,PROFESSOR,N/A
Computer Science,1350,Duke University,Bruce,Randall,Donald,2182858,10,good,TEACHER,PROFESSOR,3.9
Biology,1350,Duke University,Xinnian,,Dong,413040,11,average,TEACHER,PROFESSOR,3.4
Biology,1350,Duke University,Kathleen,,Donohue,1557931,4,average,TEACHER,PROFESSOR,2.8
Art amp Art History,1350,Duke University,Phyllis,,Dooney,2556122,1,good,TEACHER,PROFESSOR,4.0
Literature,1350,Duke University,Ariel,,Dorfman,699161,3,good,TEACHER,PROFESSOR,4.3
Languages,1350,Duke University,Vanessa,,Doriott Anderson,1512281,3,good,TEACHER,PROFESSOR,4.5
Languages,1350,Duke University,Beth Anne,,Dorn,2278668,4,good,TEACHER,PROFESSOR,5.0
Physical Education,1350,Duke University,Leslie,,Douglas,2338378,0,zero,TEACHER,PROFESSOR,N/A
African-American Studies,1350,Duke University,Patrick,,Douthit,1464937,2,good,TEACHER,PROFESSOR,5.0
English,1350,Duke University,Michelle,,Dove,2137951,1,good,TEACHER,PROFESSOR,5.0
Film,1350,Duke University,Kathleen,,Dowdey,1882652,1,good,TEACHER,PROFESSOR,5.0
Engineering,1350,Duke University,Earl,,Dowell,973517,2,good,TEACHER,PROFESSOR,4.5
Writing,1350,Duke University,Seth,,Dowland,1123808,11,good,TEACHER,PROFESSOR,4.0
Political Science,1350,Duke University,Alexander,,Downes,586795,33,average,TEACHER,PROFESSOR,3.3
Nursing,1350,Duke University,Martin,,Doyle,2555395,0,zero,TEACHER,PROFESSOR,N/A
Languages,1350,Duke University,Nathan,,Drapela,2413539,0,zero,TEACHER,PROFESSOR,N/A
Anthropology,1350,Duke University,Christine,,Drea,237122,17,good,TEACHER,PROFESSOR,3.9
Sociology,1350,Duke University,Liz,,Drogin,787830,12,average,TEACHER,PROFESSOR,3.4
Public Policy,1350,Duke University,Juliette,,Duara,2289904,3,good,TEACHER,PROFESSOR,4.3
History,1350,Duke University,Laurent,,Dubois,1343827,8,good,TEACHER,PROFESSOR,4.3
History,1350,Duke University,Katharine,,Dubois,1184332,14,good,TEACHER,PROFESSOR,3.9
Public Policy,1350,Duke University,Patrick,,Duddy,2477593,1,good,TEACHER,PROFESSOR,4.0
Classics,1350,Duke University,Robert,,Dudley,1947837,0,zero,TEACHER,PROFESSOR,N/A
Writing,1350,Duke University,Jonathan,,Dueck,1268787,11,good,TEACHER,PROFESSOR,4.3
Economics,1350,Duke University,James,Buchanan,Duke,2191145,1,good,TEACHER,PROFESSOR,5.0
Mathematics,1350,Duke University,William,,Duncan,2517722,0,zero,TEACHER,PROFESSOR,N/A
Art  Art History,1350,Duke University,Iara,,Dundas,2255062,1,good,TEACHER,PROFESSOR,5.0
Music,1350,Duke University,Susan,,Dunn,2188054,1,good,TEACHER,PROFESSOR,5.0
Marine Sciences,1350,Duke University,Meagan,,Dunphy-Daly,2374106,1,good,TEACHER,PROFESSOR,5.0
Mathematics,1350,Duke University,Richard,,Durrett,1852771,10,good,TEACHER,PROFESSOR,4.0
Statistics,1350,Duke University,Joan,C,Durso,2419054,4,good,TEACHER,PROFESSOR,3.8
Computer Science,1350,Duke University,Robert,,Duvall,398017,67,average,TEACHER,PROFESSOR,2.8
Computer Science,1350,Duke University,Chris,,Dwyer,643598,10,average,TEACHER,PROFESSOR,2.5
Ecology & Evolutionary Biology,1350,Duke University,Gary,,Dwyer,2430533,0,zero,TEACHER,PROFESSOR,N/A
Accounting,1350,Duke University,Bob,,Dylan,1189104,0,zero,TEACHER,PROFESSOR,N/A
Public Policy,1350,Duke University,Bill,,Eacho,2483552,10,good,TEACHER,PROFESSOR,4.6
Public Policy,1350,Duke University,William,,Eacho,2483555,0,zero,TEACHER,PROFESSOR,N/A
Sociology,1350,Duke University,John,,Eason,1203982,0,zero,TEACHER,PROFESSOR,N/A
Biology,1350,Duke University,Vickie,,Eason,2005790,1,average,TEACHER,PROFESSOR,3.0
Energy Systems,1350,Duke University,Dalia,,Echeverri,1621596,2,poor,TEACHER,PROFESSOR,2.2
Science,1350,Duke University,Karen,,Eckert,1149249,0,zero,TEACHER,PROFESSOR,N/A
Science,1350,Duke University,Scott,,Eckert,1149251,1,good,TEACHER,PROFESSOR,5.0
Business,1350,Duke University,Paula,,Ecklund,2488462,1,poor,TEACHER,PROFESSOR,1.0
English,1350,Duke University,Zoë,,Eckman,2257661,0,zero,TEACHER,PROFESSOR,N/A
Physics,1350,Duke University,Glenn,,Edwards,1994539,13,average,TEACHER,PROFESSOR,3.5
History,1350,Duke University,Laura,,Edwards,546924,15,good,TEACHER,PROFESSOR,4.3
Psychology,1350,Duke University,Tobias,,Egner,1438912,11,good,TEACHER,PROFESSOR,4.0
Psychology,1350,Duke University,Miriam,K,Ehrensaft,2499691,1,average,TEACHER,PROFESSOR,3.0
Writing,1350,Duke University,Nicolas,,Eilbaum,1565405,18,good,TEACHER,PROFESSOR,4.1
Philosophy,1350,Duke University,Iris,,Einheuser,777586,6,average,TEACHER,PROFESSOR,2.8
Statistics,1350,Duke University,Robert,David,Eisinger,2526967,4,good,TEACHER,PROFESSOR,3.5
Languages,1350,Duke University,Martin,,Eisner,757995,16,good,TEACHER,PROFESSOR,4.6
Languages,1350,Duke University,Michelle,,Eley,979678,5,good,TEACHER,PROFESSOR,4.8
Public Policy,1350,Duke University,Catherine,,Elkins,1770494,0,zero,TEACHER,PROFESSOR,N/A
Statistics,1350,Duke University,Victoria,,Ellison,2403895,14,average,TEACHER,PROFESSOR,3.2
Theater,1350,Duke University,Daniel,,Ellison,1885221,5,good,TEACHER,PROFESSOR,3.9
Writing,1350,Duke University,Sheryl,,Emch Welte,1149506,22,good,TEACHER,PROFESSOR,4.8
Languages,1350,Duke University,Hitomi,,Endo,522331,18,good,TEACHER,PROFESSOR,4.4
Statistics,1350,Duke University,Barbara,,Engelhardt,1840352,6,poor,TEACHER,PROFESSOR,1.2
Languages,1350,Duke University,Stefani,,Engelstein,2466418,1,good,TEACHER,PROFESSOR,5.0
History,1350,Duke University,Peter,,English,600531,12,good,TEACHER,PROFESSOR,3.9
Writing,1350,Duke University,Michael,,Ennis,1127205,12,good,TEACHER,PROFESSOR,4.5
Mathematics,1350,Duke University,Jack,,Enyeart,1616733,4,good,TEACHER,PROFESSOR,4.8
Languages,1350,Duke University,Ian,,Erickson-Kery,2435102,1,good,TEACHER,PROFESSOR,5.0
Writing,1350,Duke University,Christine Marie,,Erlien,1149640,6,good,TEACHER,PROFESSOR,4.3
Writing,1350,Duke University,Maral,,Erol,1647430,8,good,TEACHER,PROFESSOR,4.6
Medicine,1350,Duke University,Shenita,,Etwaroo,2503621,0,zero,TEACHER,PROFESSOR,N/A
Political Science,1350,Duke University,Peter,,Euben,489944,12,good,TEACHER,PROFESSOR,4.4
Languages,1350,Duke University,Barohny,,Eun,2089297,2,good,TEACHER,PROFESSOR,5.0
Physics,1350,Duke University,Lawrence,,Evans,651024,5,average,TEACHER,PROFESSOR,3.3
English,1350,Duke University,John,,Evelev,859070,0,zero,TEACHER,PROFESSOR,N/A
History,1350,Duke University,Janet,,Ewald,1323724,12,average,TEACHER,PROFESSOR,2.8
Anthropology,1350,Duke University,Kathy,,Ewing,276221,7,poor,TEACHER,PROFESSOR,1.9
Spanish,1350,Duke University,Rebecca,,Ewing,1944243,16,good,TEACHER,PROFESSOR,4.3
Political Science,1350,Duke University,Michael,,Faber,1517042,2,average,TEACHER,PROFESSOR,3.0
Engineering,1350,Duke University,Richard,,Fair,572491,4,average,TEACHER,PROFESSOR,3.0
Economics,1350,Duke University,Tracy,,Falba,1258377,7,average,TEACHER,PROFESSOR,2.9
Music,1350,Duke University,Marc,,Faris,709304,7,good,TEACHER,PROFESSOR,4.9
Literature,1350,Duke University,Grant,,Farred,235196,14,average,TEACHER,PROFESSOR,2.8
Engineering,1350,Duke University,Sina,,Farsiu,2289388,1,good,TEACHER,PROFESSOR,5.0
History,1350,Duke University,Daanish,,Faruqi,2132391,4,good,TEACHER,PROFESSOR,4.2
History,1350,Duke University,Jacques,,Fasan,1807476,10,good,TEACHER,PROFESSOR,4.2
Science,1350,Duke University,John,,Fay,2394821,1,good,TEACHER,PROFESSOR,5.0
Political Science,1350,Duke University,Peter,,Feaver,131402,50,good,TEACHER,PROFESSOR,3.8
Sociology,1350,Duke University,Maria,,Febbo,1894674,6,average,TEACHER,PROFESSOR,3.3
English,1350,Duke University,Lynne,,Feeley,1782341,1,good,TEACHER,PROFESSOR,5.0
Languages,1350,Duke University,Luciana,,Fellin,1189780,5,good,TEACHER,PROFESSOR,4.4
Psychology,1350,Duke University,Gang,,Feng,587641,12,poor,TEACHER,PROFESSOR,2.1
History,1350,Duke University,Elizabeth,,Fenn,300676,19,good,TEACHER,PROFESSOR,4.7
Psychology,1350,Duke University,Virginia,,Fenwick,1344169,0,zero,TEACHER,PROFESSOR,N/A
Philosophy,1350,Duke University,Michael,,Ferejohn,435479,25,good,TEACHER,PROFESSOR,4.2
Chemistry,1350,Duke University,Lee,,Ferguson,2218744,1,good,TEACHER,PROFESSOR,5.0
Languages,1350,Duke University,Bethzaida,,Fernandez,1073038,26,good,TEACHER,PROFESSOR,4.8
Spanish,1350,Duke University,Ana,,Fernandez Gonzalez,1719001,20,good,TEACHER,PROFESSOR,3.5
Ethnic Studies,1350,Duke University,Christian,,Ferney,1344348,1,good,TEACHER,PROFESSOR,3.5
Public Policy,1350,Duke University,Fernando,R.,Fernholz,2140820,2,good,TEACHER,PROFESSOR,4.3
English,1350,Duke University,Thomas,,Ferraro,451260,29,good,TEACHER,PROFESSOR,4.0
Theater,1350,Duke University,Alex,,Ferrone,2482353,5,good,TEACHER,PROFESSOR,5.0
